Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,Chemicals,DOI
084-520-774-269-748,"Doing Family Photography: The Domestic, The Public and The Politics of Sentiment",2010-03-28,2010,book,,,,,Gillian Rose,"Family photography, a ubiquitous domestic tradition in the developed world, is now more popular than ever thanks to the development of digital photography. Once uploaded to PCs and other gadgets, photographs may be stored, deleted, put in albums, sent to relatives and friends, retouched, or put on display. Moreover, in recent years family photographs are more frequently appearing in public media: on posters, in newspapers and on the Internet, particularly in the wake of disasters like 9/11, and in cases of missing children.; ; Here, case study material drawn from the UK offers a deeper understanding of both domestic family photographs and their public display. Recent work in material culture studies, geography, and anthropology is used to approach photographs as objects embedded in social practices, which produce specific social positions, relations and effects. Also explored are the complex economies of gifting and exchange amongst families, and the rich geographies of domestic and public spaces into which family photography offers an insight.",The Internet; Photography; Digital photography; Material culture; Newspaper; Geography; Media studies; Genealogy; Politics,,,,
084-552-890-743-730,Towards examining and addressing the danger of unaccompanied migrant minors going missing,2021-11-15,2021,journal article,Humanities and Social Sciences Communications,26629992,Springer Science and Business Media LLC,,Isabelle Brantl; Ariadni Michalitsi-Psarrou; Barbara Klein; Minas Pertselakis; Christos Ntanos; Danai Vergeti,"The phenomenon of missing children is complex, further complicated by the specific circumstances of missing unaccompanied migrant minors. Owing to the (often forced) migration, these children have moved through different countries with diverse legislation and work practices. The international nature of these cases leads to confusion about the responsibility of different actors. Additionally, for these cases, little data are available. This article critically assesses current work practices in the EU. It also introduces a new practical solution based on empirical data from 26 international expert interviews, proposing a new alert system for missing children cases to improve the efficiency in responding to them and the international communication between stakeholders to improve the situation of missing unaccompanied migrant minors. The solution is currently in use by three organisations and has already been used in more than 85 real-life cases. It is concluded that it holds the potential to connect actors in a new, efficient way and prevent children, and unaccompanied migrant minors particularly, from falling off the grid. It is also highlighted that the situation of unaccompanied migrant minors is highly disadvantaged, and new, homogenous legislation among the EU member states that does not discriminate against the rights of migrant minors is imperative. New research should also actively involve them to better grasp their situation before and during their disappearance.",Work (electrical); Political science; Off-the-grid; Legislation; International communication; Disadvantaged; Empirical data; Alert system; Public relations; Phenomenon,,,,10.1057/s41599-021-00958-9
084-572-894-897-09X,"Herspace : Women, Writing, and Solitude",2014-02-25,2014,book,,,Routledge,,J Dianne Garner; Victoria Boynton; Jo Malin,"* About the Editors * Contributors * Acknowledgments * Introduction * Section I: Women Theorizing Herspace--Solitude and Writing * 1. Women Alone: The Spinster's Art * 2. With Sure and Uncertain Footing: Negotiating the Terrain of a Solitude in May Sarton's Journals * 3. Unknown Women: Secular Solitude in the Works of Alice Koller and May Sarton * 4. A Veritable Guest to Her Own Self * 5. Woolf, Hurston, and the House of Self * 6. The Domestic Politics of Marguerite Duras * Section II: Women's Writing Spaces--Solitude and the Creative Process * 7. Writing Women, Solitary Space, and the Ideology of Domesticity * 8. Car, Kitchen, Canyon: Mother Writing * 9. Between the Study and the Living Room: Writing Alone and with Others * Section III: Women Writing Herspace--Personal Takes on Home * 10. What to Make of Missing Children (A Life Slipping into Fiction) * 11. The Little Gray House and Me * 12. The Colors and the Light * 13. A Woman's Place * 14. Reframing My Life * 15. An &/or Peace Performance * Afterword",Gender studies; Gray (horse); Art; Ideology; Cognitive reframing; Negotiation; Solitude; Living room; Politics,,,,10.4324/9781315785943
084-713-382-394-76X,"Too risky yet not risky enough: the intersecting characteristics, vulnerabilities, harm indicators and guardianship issues associated with seriously harmed missing children",2024-03-27,2024,journal article,Policing and Society,10439463; 14772728,Informa UK Limited,United Kingdom,Nicola Fox; Caroline Miles; Réka Solymosi; Eon Kim; Riza Batista-Navarro,"The number of missing child reports exceed police investigative capacity, yet some incidents are linked with harm, making effective risk assessment essential for safeguarding. Police data likely underrepresents harm to missing children due to harm being undisclosed, and missing incidents going unreported. A better understanding of harm associated with missing children could help to develop appropriate interventions to reduce missing incidents and prevent harm. This study examined 18 months of published Child Safeguarding Practice Reviews across England–a previously overlooked resource for understanding harm to missing children–to identify the intersecting characteristics, vulnerabilities, harm types, indicators, and issues with formal guardianship (safeguarding by carers, schools, local authorities, police and health professionals). Results revealed that children were missing, vulnerable, harmed, and showed indicators of exploitation in numerous and intersecting ways. Of the missing from home or care (MFHC) cases, all but two mentioned repeat missing incidents, all mentioned missing school, 75% mentioned exclusion, and over half mentioned going missing from both home and care. All MFHC cases mentioned multiple vulnerabilities and multiple harm types. All but one of the MFHC cases mentioned multiple exploitation indicators. This highlights opportunities for guardianship including extending the police Philomena Protocol to schools for children at risk of exclusion. The constraints of formal guardians, when combined with the risks faced by some vulnerable children, can lead to inadequate supervision and support–paradoxically leaving those children simultaneously overexposed to harm yet under-served by protective services.",Legal guardian; Harm; Business; Criminology; Law; Political science; Psychology; Actuarial science,,,,10.1080/10439463.2024.2333561
085-166-430-473-849,"Who speaks for children? Advocacy, activism and resistance",2015-04-09,2015,book chapter,Children and Global Conflict,,Cambridge University Press,,Kim Huynh; Bina D'Costa; Katrina Lee-Koo,"I do not intend to return children to murderers because it would not be fair. They do not have the right to have them. So, I will ′rule not to return any children to you. It does not make sense to disturb those children that are in the hands of decent families that will be able to educate them right, not like you educated your children. Only over my dead body will you obtain custody of them. Introduction The Argentine Grandmothers with Disappeared Grandchildren was formed in 1977 by grandmothers who organised themselves to locate children taken during Argentina's Dirty War. The children were systematically abducted for adoption by military families and the allies of the regime as part of a plan to control the subversiveness of future generations. The search for the missing children in Argentina, El Salvador, Chile and Guatemala developed one of the most symbolic and effective transnational human rights networks in contemporary history. Keck and Sikkink emphasise that networks are characterised by the prominence of principled ideas and the central role of NGOs. They articulate how grandmothers travelled to Europe, the United States and Canada to denounce human rights violations and to seek international solidarity. The solidarity framework is one of the most important pillars of advocacy and activism among NGOs and other human rights actors, involving ‘relationships between oppressed peoples and those in a position to support them’. Drawing from Keck and Sikkink's ground-breaking study of advocacy and activism, this chapter explores the norm-setting and framing agenda for children's rights and protection in conflict zones. This chapter seeks to identify some of the factors mobilising global and local movements in responding to children's concerns in conflict zones. It considers the initiatives used to protect children from abuse and exploitation in various regions, and the tensions that exist within advocacy and activism for children, especially with regard to the political processes and shifting dynamics of conflict zones.",Gender studies; Contemporary history; Framing (social sciences); Human rights; Political science; Position (finance); Solidarity; Military Family; Resistance (psychoanalysis); Politics,,,,10.1017/cbo9781139854573.010
085-417-728-691-682,"Analysis of Requirements for Notifying, Warning and Alarming the Population and Fire Protection Units in Europe",,2025,journal article,Safety & Fire Technology,26578808; 26580810,CNBOP-PIB Centrum Naukowo-Badawcze Ochrony Przeciwpozarowej,,Marcin Ochenkowski; Tomasz Popielarczyk; Paweł Stępień,"<jats:p>Purpose: The purpose of this publication is to analyse and evaluate the literature, in particular, legal acts and normative documents and other documents on notification, warning and alarming the population, as well as fire protection units in Europe. Introduction: Due to the risk of dangerous situations and threats, which can be caused by both natural forces and the general development of civilization and human activity, warning and alarming the population is one of the overriding tasks of public administration bodies responsible for crisis management. Public warning and alarm systems are among the basic elements that affect public safety. Tornadoes, hurricanes, tsunamis, floods, or natural volcanic phenomena are examples of dangerous situations in which public warning systems can save lives and property. Although it was initially thought that warning systems were only needed to protect people’s lives in the event of a major emergency, statistics from actual use show that authorities are now using these systems for more local, everyday purposes. We have observed more frequent cases of using such methods as requesting the community’s help in searching for missing children, reporting sightings of runaways and taking immediate action to stay safe during a terrorist attack. Methodology: In the implementation of the research process, theoretical research was used, such as analysis of literature and legal documents, synthesis, generalization, inference, comparison and analogy. The analysis took into account the guidelines and standards of European countries. The selection of areas of analysis was guided by the level of development of these systems and the availability of source documents. Conclusions: This article examined the civil protection systems in selected European countries. Due to the large number of legal acts and normative documents in each country, public warning systems differ from one another. Every country should have the capacity to manage risk, to mitigate risk in the event of a natural or man-made disaster. One of the main formations responsible for safety is the fire service.</jats:p>",Population; Warning system; Computer security; Business; Computer science; Environmental health; Telecommunications; Medicine,,,,10.12845/sft.65.1.2025.9
085-523-273-621-715,Craniofacial Abnormality (CFA): India's Shame,2022-08-01,2022,journal article,Journal of Social Science and Humanities,18111564,Century Science Publishing Co,,Tamarah Bonna; Krishnacharyya Bhattakali; T Hart; P Hart; W Rooijers; P Tio; M Van Der Schroeff; B Padwa; D Dunaway; C Forrest; . Caron; W Huang; T Wu; W Au; K Wu; C Wiechers; K Kagan; E Elsten; C Caron; D Dunaway; B Padwa; C Forrest; N Kaczorowska; K Kaczorowski; J Laskowska; M &mikulewicz; R Denadai; C Raposo-Amaral; C &raposo-Amaral; S Stefanelli; P Mundada; A Rougemont; V Lenoir; P Scolozzi; L Merlini; M Becker; A Ornoy,"Craniofacial Anomalies (CFA) is an umbrella term which consists of malformations and underdevelopment of the skull and facial bones in individuals. These abnormalities are birth defects as these facial and skull deformities are usually present from birth (congenital). CFA can range in severity from mild, moderate and severe. Some of the common CFA include: 1) CLEFT LIP AND PALATE-A separation in the lip and the palate. 2) CRANIOSYNOSTOSIS -Premature closure of the soft spots in an infant's skull.",Shame; Abnormality; Craniofacial; Psychology; Medicine; Social psychology; Psychiatry,Craniofacial Anomalies; Types of Craniofacial Anomalies; Causes of Craniofacial Anomalies; Stigma in India; Management Plan; Treatment Plan; Advancement in India; Craniofacial Anomalies in Children; Craniofacial Anomalies in Adolescents; Perception Towards Craniofacial Anomalies; NGOS; Policies,,,10.53469/jssh.2022.4(07).40
085-846-558-534-742,PARICHAI - Personal Aadhar Referenced Identification of Missing Children and Alzheimer patients of India,2023-12-08,2023,conference proceedings article,2023 6th International Conference on Advances in Science and Technology (ICAST),,IEEE,,Netra Shukla; Esha Sanghavi; Ruchira Patil; Sheetal Jagtap,"The objective of this project is to combat human trafficking, especially child trafficking. Human trafficking is a huge industry recognized as the fastest growing criminal industry in the world. Human trafficking has many components, including sex trafficking, human trafficking and organ trafficking. Alzheimer’s disease is a brain disease that gradually deteriorates thinking and memory capacities, as well as the ability to do even the most fundamental tasks. Alzheimer’s patients may forget their own home and become disoriented when returning home. Biometrics are to be used to identify a missing person. For this, the system is to be linked with the Aadhar biometrics information system. Fingerprints are like unique keys you carry everywhere. Nine biometric technologies exist, including face, fingerprint, hand shape biometrics, hand vein, retinal scan, iris, signature, voice of a person, and isometric expressions. Considering all those biometrics, Fingerprint has more wholeness and uniqueness. As we know, UIDAI does not permit using anyone’s fingerprint without their consent. However, according to reports, it does allow it in some serious situations. The app will be developed for the government which means only the authorized senior officials of government can make use of PARICHAI. The government can deploy this app in their suitable and secure domain to prevent cyber threats. The address of the victim will be mapped to the Aadhar database as the address of the victim and the family members will be the same. The Aadhar database resides with the government itself. The list of people whose address maps with the victim will be listed. The UID, contact details and address is only listed. The biometric information is not disclosed to the official to respect their privacy. It is a contemporary identification system that will serve as the provisional culmination. It works on ongoing development of identifying systems. Each of which offers a fresh, improved approach to the enduring issue of permanently resolving identities. The only disadvantage of the system here is non-updated Aadhar card.",Identification (biology); Computer science; Data science; Biology; Botany,,,,10.1109/icast59062.2023.10455065
086-606-247-830-29X,Audio-Visual Kinship Verification: a New Dataset and a Unified Adaptive Adversarial Multimodal Learning Approach,2022-05-18,2022,preprint,,,Institute of Electrical and Electronics Engineers (IEEE),,Xiaoting Wu; Xiaoyi Feng; Xueyi Zhang; Miguel Bordallo López; Li Liu,"<jats:p>&lt;p&gt;Facial kinship verification refers to automatically determining whether; two people have a kin relation from their faces. It has become a popular; research topic due to potential practical applications, such as finding missing; children, family photo organization, or criminal investigations. Over the past; decade, many efforts have been devoted to improving the verification; performance of human faces only while lacking other biometric information, e.g., speaking voice. In this paper, to; interpret and benefit from multiple modalities, we propose for the first time; to combine human faces and voices to verify kinship, which we refer it as the audio-visual; kinship verification study. Since there is still no standard and public audiovisual kinship; dataset, we first establish a comprehensive audio-visual kinship dataset that; consists of familial talking facial videos under various scenarios, called TALKIN-Family. Based on the dataset, we present; the extensive evaluation of kinship verification from faces and voices. In; particular, we propose a deep learning-based fusion method, named Unified; Adaptive Adversarial Multimodal Learning (UAAML). It consists of the; adversarial network and the attention module on the basis of unified; multi-modal features. First, the modality adversarial learning eliminates the cross-modality variations by confusing; the discriminator. The attention module quantifies the importance of kinship; interested features. The overall multimodal fusion network is trained in; Siamese fashion to encourage the compactness of kinship and separation of; non-kinship. Experiments show that audio (voice) information is complementary; to facial features and useful for the kinship verification problem. Further,; the proposed fusion method outperforms baseline methods. In addition, we also; evaluate the human kinship verification ability on a sub-set of TALKIN-Family.; It indicates that human has higher accuracy when they have access to both faces; and voice. The machine learning methods could effectively and efficiently; outperform human ability. Finally, we include the future work and research; opportunities with the TALKIN-Family dataset.&lt;/p&gt;</jats:p>",Kinship; Computer science; Adversarial system; Artificial intelligence; Deep learning; Natural language processing; Sociology; Anthropology,,,,10.36227/techrxiv.19776007.v1
086-622-323-138-060,DCOSS - Smart Interconnected Infrastructure for Security and Safety in Public Places,,2019,conference proceedings article,2019 15th International Conference on Distributed Computing in Sensor Systems (DCOSS),,IEEE,,Angelos Chatzimichail; Christos Chatzigeorgiou; Fotis Andritsopoulos; Christina Karaberi; Georgios Meditskos; Panagiotis Kasnesis; Dimitrios G. Kogias; Georgios Gorgogetas; Athina Tsanousa; Stefanos Vrochidis; Charalampos Z. Patrikakis; Ioannis Kompatsiaris,"In this paper, we present work in progress on the development of an intelligent interconnected infrastructure for public security and protection domain. In contrast to other Internet of Things (IoT) frameworks, the proposed system aims to effectively combine device and human awareness to achieve situational awareness, so as to provide a protection and security environment for citizens. The emphasis is placed on tourists, by creating the appropriate infrastructure to address a set of urgent situations, such as health-related problems and missing children in overcrowded environments, supporting smart links between humans and entities on the basis of goals, and adapting device operation to comply with human objectives, profiles and privacy. The framework effectively combines state-of-the-art technologies on IoT data collection and analytics, knowledge representation and interoperability, crowdsourcing, data fusion and decision-making.",Data collection; Situation awareness; Knowledge representation and reasoning; Work in process; Interoperability; Sensor fusion; Computer security; Computer science; Crowdsourcing; Analytics,,,,10.1109/dcoss.2019.00069
086-692-644-069-784,Can Social Media Rescue Child Beggars,2020-12-01,2020,book chapter,Human Dynamics in Smart Cities,25237780; 25237799,Springer International Publishing,,Xining Yang; Daniel Z. Sui,"Being the world’s most populous country with growing geographic and social disparities, child begging and missing children has been reported in some Chinese cities and has become a major social issue with growing national attention. The booming of Internet use in general and location-based social media in particular have equipped Chinese citizens with the tools needed to voluntarily engage in several recent rescue efforts toward child beggars, as well as to help the missing children find their way back home. Although academic research on child beggars and missing children has gained increasing attentions in some parts of the world, limited number of studies have addressed the geographic patterns of these two unique population in China. In this article, we provided an overview of child beggars and missing children issue in China, based on the observations from two Chinese social media platforms. Using a representative sample of volunteered geographic information crawled from Sina Weibo and Baby Back Home, this paper examined the geographic distribution of child beggars and missing children in China respectively, and explored how social media platform via Volunteered Geographic Information (VGI) has empowered citizens to help rescue child beggars and missing children find their way back home. Our results showed that VGI can serve as a powerful data source for studying the complexity and diversity of child beggars and missing children issues in Chinese cities. As these bottom-up citizen efforts have become a new force of activism in China, a more comprehensive policy and effective legal environment to protect children’s right are sorely needed and China still lags behind compared to the West.",Sociology; China; Begging; Diversity (politics); Population; Data source; Public relations; Social media; Social issues; Volunteered geographic information,,,,10.1007/978-3-030-52734-1_18
086-845-074-976-335,Agent-Based Simulation to Measure the Effectiveness of Citizen Sensing Applications—The Case of Missing Children,2021-07-15,2021,journal article,Applied Sciences,20763417,MDPI AG,,Ariadni Michalitsi-Psarrou; Iason Lazaros Papageorgiou; Christos Ntanos; John Psarras,"Citizen sensing applications need to have a number of users defined that ensures their effectiveness. This is not a straightforward task because neither the relationship between the size of the userbase or its effectiveness is easily quantified, nor is it clear which threshold for the number of users would make the application ‘effective’. This paper presents an approach for estimating the number of users needed for location-based crowdsourcing applications to work successfully, depending on the use case, the circumstances, and the criteria of success. It circumvents various issues, ethical or practical, in performing real-world controlled experiments and tackles this challenge by developing an agent-based modelling and simulation framework. This framework is tested on a specific scenario, that of missing children and the search for them. The search is performed with the contribution of citizens being made aware of the disappearance through a mobile application. The result produces an easily reconfigurable testbed for the effectiveness of citizen sensing mobile applications, allowing the study of the marginal utility of new users of the application. The resulting framework aims to be the digital twin of a real urban scenario, and it has been designed to be easily adapted and support decisions on the feasibility, evaluation, and targeting of the deployment of spatial crowdsourcing applications.",Software deployment; Human–computer interaction; Marginal utility; Work (electrical); Measure (data warehouse); Task (project management); Sensing applications; Testbed; Computer science; Crowdsourcing,Michalitsi-Psarrou  A.; Papageorgiou  I.L.; Ntanos  C.; Psarras  J. Agent-Based Simulation to agent-based modelling; human mobility; simulation; urban mobility; citizen sensing; spatial crowdsourcing,,,10.3390/app11146530
086-947-757-928-516,Keeping Children Safe is Good Business: The Enterprise of Child Safety in the Age of Reagan,2015-12-21,2015,journal article,Enterprise & Society,14672227; 14672235,Cambridge University Press (CUP),United Kingdom,PAUL MOKRZYCKI RENFRO,"<jats:p>This essay investigates the ways in which child safety became an enterprise during the child protection crusade of the 1980s. Americans clamored for an increased federal presence in “the battle for child safety,” but they made such calls in a climate of intense governmental distrust. The federal government<jats:italic>did</jats:italic>assume a larger role on the issue of missing and exploited children with the passage of the Missing Children and Missing Children’s Assistance Acts of 1982 and 1984, respectively. But, as this essay demonstrates, the state also stressed the primacy of the private sector—and specifically for-profit companies—in protecting American children. The celebration by President Ronald Reagan and others of private sector efforts to raise awareness about and “save” American youngsters laid the groundwork for a broader<jats:italic>child safety apparatus</jats:italic>that took hold in the final decades of the twentieth century.</jats:p>",Distrust; Battle; Private sector; Government (linguistics); For profit; Profit (economics); Public administration; Private enterprise; Law; Political science; Public relations; Business; Economics; Finance; History; Philosophy; Linguistics; Archaeology; Microeconomics,,,,10.1017/eso.2015.65
087-577-488-212-691,La aportación de la prueba pericial científica en el proceso penal,,2015,,,,,,María del Mar Robledo Acinas,"espanolLla prueba pericial se ha convertido en un medio de prueba de mayor valor a la prueba testifical en el proceso penal espanol. En este trabajo se han estudiado 23 casos de menores desaparecidos con resultado de muerte en el siglo XXI juzgados, al menos, en primera instancia, concluyendo que es necesario que la prueba cientifica se base en criterios cuantitativos, en metodos cientificos con un margen de error conocido y recomendando que existan mecanismos reguladores de la prueba pericial cientifica aportada en el proceso penal como medio de prueba. EnglishExpert evidence has become a means of proof of greater value to the testimony in the spanish criminal proceedings. In this work we have studied 23 cases of missing children with fatal outcome in the XXI century judged, at least in the first instance, concluding that it is necessary that the scientific evidence is based on quantitative criteria, scientific methods with a margin of error there are known and recommending regulatory mechanisms of scientific expert evidence provided in criminal proceedings as evidence",,,,,
087-756-327-044-424,An Exploratory Study of Unsolved Cases Involving Missing Children,,2018,,,,,,Trishanne N. Edwards,"Children go missing for various reasons with most being found within a few hours of their disappearance. However, some of these situations end tragically with the child never being found or the case never being solved. These cases involve children who runaway, are abducted by parents in custody disputes, or are abducted by strangers. There have been several highly publicized cases over the past thirty years that continue to garner attention to this problem. However, more public awareness and evolving technologies over the past two decades coupled with government initiatives publicizing missing children cases are believed to have helped decrease the number of missing children cases and the number of these cases that are not resolved. The purpose of this study is to examine characteristics of unresolved missing children cases and determine if there were any changes in the rates of abduction as well as characteristics of these unsolved cases. Using a secondary analysis of available data research design, case characteristics were obtained from 73 unsolved missing children cases from New England states between the years 1960 through 2010. This study found that were fewer unsolved missing children cases after 1990 than prior to 1990. Additionally, there were more unsolved cases involving girls in both pre and post 1990. These findings suggest that there are characteristics in unresolved cases which remain the same throughout the years.%%%%""Submitted in Partial Fulfillment of the Requirements for the Degree of Master of Science in Criminal Justice.""; Thesis advisor: Stephen M. Cox.; M.S.,Central Connecticut State University,,2018.;",Criminal justice; Government; Psychology; Research design; Public awareness; Secondary analysis; Pre and post; Family medicine; Exploratory research,,,,
087-791-984-764-214,I3E - Using Facebook to Find Missing Persons: A Crowd-Sourcing Perspective,2016-08-23,2016,book chapter,Lecture Notes in Computer Science,03029743; 16113349,Springer International Publishing,Germany,Marie Hattingh; Machdel Matthee,"This paper explores the ways in which Facebook is used in the quest for finding missing persons in South Africa. Graphs are used to indicate differentiated roles of the Facebook communities: some communities act mainly as originators of the messages whereas others act more as distributors or end points of the messages. Crowd-sourcing is used as a conceptual tool to further our understanding of the way messages are shared among different Facebook communities. The four pillars of crowdsourcing as proposed by Hosseini et al., are used to analyse the network of communities as a crowd-source system. It is argued that Facebook can be effective as crowdsourcing system despite the fact that there is no guarantee that missing persons reported there will be found, since it most likely provides much needed emotional support to friends and relatives of the missing person.",Internet privacy; Advertising; Sociology; Perspective (graphical); Crowd sourcing; Missing person; Emotional support; Social media; Crowdsourcing,Crowdsourcing; social media; Facebook; missing people; emotional support,,,10.1007/978-3-319-45234-0_61
087-921-567-906-296,Crime Control Act of 1990 [29 November 1990]. [Summary].,,1990,journal article,"Digest of public general bills and selected resolutions, with index",,,United States,null null,"In the US, the Crime Control Act of 1990 was approved on November 29, 1990.  This various titles of this Act include provisions relating to the following: 1) international money laundering; 2) child abuse; 3) child pornography; 4) kidnapping, abducting, or unlawfully restraining a child; 5) the protection of crime victims; 6) funding for local law enforcement agencies; 7) funding for federal law enforcement; 8) rural drug enforcement assistance; 9) mandatory detention for certain criminals; 10) juvenile justice; 11) penalties for use of certain firearms; 12) improvements in miscellaneous criminal law; 13) disability benefits for public safety officers; 14) money laundering; 15) drug-free school zones; 16) miscellaneous amendments to the federal judicial and criminal codes; 17) general provisions; 18) grants for correctional options; 19) control of anabolic steroids; 20) asset forfeiture; 21) student loan cancellation for law enforcement officers; 22) firearms provisions; 23) chemical diversion and trafficking; 24) drug paraphernalia; 25) banking law enforcement; 26) licit opium imports; 27) sentencing for methamphetamine offenses; 28) drug enforcement grants; 29) prisons; 30) shock incarceration (prison boot camps); 31) bankruptcy and restitution; 32) appropriations for law and drug enforcement agencies; 33) anti-drug programs; 34) support of law enforcement; 35) technical and minor substantive amendments to the federal criminal code; 36) federal debt collection; and 37) national child search assistance (for missing children).",Law enforcement; Law; Enforcement; Criminal justice; Business; Political science; Drug control; Money laundering; Criminology; Sociology,Age Factors; Americas; Behavior; Child; Child Abuse--legal aspects; Crime; Demographic Factors; Developed Countries; Drug Usage; Economic Factors; Education; Financial Activities; Legislation; North America; Northern America; Population; Population Characteristics; Schools; Sexual Abuse--legal aspects; Social Problems; Social Protection--legal aspects; United States; Youth,Adolescent; Age Factors; Americas; Behavior; Child; Child Abuse; Crime; Demography; Developed Countries; Economics; Education; Financial Management; Legislation as Topic; North America; Population; Population Characteristics; Public Policy; Schools; Sex Offenses; Social Problems; Substance-Related Disorders; United States,,
088-120-273-435-878,- Missing Children Crime Scenes and Neighborhood Canvass,2018-06-28,2018,book chapter,Investigating Missing Children Cases,,Routledge,,,,Criminology; Computer science; Sociology,,,,10.1201/b12689-12
088-126-536-881-253,"Human Trafficking: A Comparative Analysis amongst the Legislations of Pakistan, China and Russia in Relation to International Law",2022-03-31,2022,journal article,Journal of Law & Social Studies,27096270; 27092283,Advance Legal Research Foundation,,Dr. Abida Hassan; Mahnoor Chaudhary; Sadia Saeed Rao,"<jats:p>The topic under discussion is significant in nature as now a days human trafficking is very common due to various reasons. The researcher during study and research has determined that unemployment and unawareness are the main reasons for human trafficking. Further, it has been noted that the legislation is in existence but its proper implementation is weak in the said countries which is another cause for illegal human trafficking practices, if the implementation of laws be ensured and implemented strictly then human trafficking can be reduced up to some extent. Next is that awareness campaign can be useful for reduction of these activities people will be more conscious for taking decision before leaving their countries and step into another country. This paper focuses on minimizing the chances of human trafficking in Pakistan, Rusia and China through proper legislation and its implementation.</jats:p>",Legislation; Human trafficking; China; Relation (database); Political science; Human rights; Law; Unemployment; Law and economics; Economic growth; Criminology; Sociology; Economics; Computer science; Database,Human trafficking; Russia; China; ILO; UDHR,,,10.52279/jlss.04.01.141148
088-131-636-890-997,Sex and the streets: the open secret of sexual abuse among Pakistan's two million street children.,2021-11-13,2021,journal article,Child and adolescent psychiatry and mental health,17532000,Springer Science and Business Media LLC,United Kingdom,Amir Humza Sohail; Muhammad Hassaan Arif Maan; Sachal Sohail,"BACKGROUND About two million children live on the streets in Pakistan. Their complicated past and dire living conditions make them susceptible to many psychological and physical problems, including sexual abuse. MAIN BODY With little research on the topic, the prevalence of sexual intercourse among street children is reported to be as high as 88% in Pakistan. With commercial sex a common practice among the street children, public places such as bus terminals and parks have become foci of prostitution and sexual exploitation. A growing concern is the spread of HIV/AIDS among the affected children due to a general lack of awareness about the disease and its prevention and high prevalence of unsafe sexual practices. The generally apathetic attitude of the society towards this issue and the affected children, combined with a lack of commitment and limited resource allocation by the government, has contributed in deteriorating the situation further. CONCLUSIONS A comprehensive multi-pronged strategy involving government, societal and international stakeholders is crucial to tackle the current crisis.",Government; Political science; Sexual intercourse; Forensic psychiatry; Acquired immunodeficiency syndrome (AIDS); Sexual abuse; Human immunodeficiency virus (HIV); High prevalence; Socioeconomics; Child and adolescent psychiatry,Human immunodeficiency virus; Sexual abuse; Sexual exploitation; Street children,,,10.1186/s13034-021-00420-3
088-314-493-575-966,The Evolution of a Social Movement: A Study of the Madres de Plaza de Mayo,2014-05-01,2014,dissertation,,,,,Grace Anne M. Boyd,"This thesis investigates the evolution of the Madres de Plaza de Mayo social movement in Argentina from 1979-2014. The Madres de Plaza de Mayo are a social movement that initiated protests against the military junta that controlled Argentina from 1976-1982. The Madres were the mothers of people the junta had “disappeared” during its regime, and the protests were a demand for information about the missing children. After the fall of the dictatorship, the movement continued its protest for information. During this time, the movement underwent a structural split that coincided with ideological structure. I analyzed both internal and external factors to understand their role in the changing structure and ideology of the movement. I used an historical comparison to evaluate the evolution of the movement over time. I found that the strong collective identity was very important to the Madres continued existence. I also found that the Madres overcame the “free-rider” problem of collective action through the use of selective incentives as well as pursuing a mission of social justice. The Madres’ recent alliance with the Kirchner administration has compromised some of their credibility with the Argentine population. New legal proceedings to prosecute those responsible for the crimes as well as locate the missing grandchildren could have an effect on the future structure of the Madres de Plaza de Mayo.",Gender studies; Fall of man; Social movement; Sociology; Collective identity; Ideology; Collective action; Alliance; Population; Dictatorship,,,,
088-333-136-282-202,Book reviews,1991-10-01,1991,journal article,Deviant Behavior,01639625; 15210456,Informa UK Limited,United Kingdom,Clemens Bartollas; Anne Rankin Mahoney; Lee B. Hippie; Joseph H. Rankin; Carrie Bronson; James J. Chriss; David W. Coombs,"Undercover: Police Surveillance in America . by Gary T. Marx . Berkeley and Los Angeles, CA: University of Chicago Press, 1988, 283 pages, $10.95, paperback. Resolving the Trauma of Incest: Reintegration Therapy with Survivors by Karin C. Meiselman San Francisco, CA: Jossey‐Bass, 1990, 320 pages, hardback. Missing Children: The Law Enforcement Responses edited by Martin L.Forst Springfield: Charles C Thomas, 1990, 237 pages, hardback. The Sociology of Juvenile Delinquency . edited by Ronald J. Berger . Chicago, IL: Nelson‐Hall Publishers, 1991, 441 pages, $19.95, paperback. Sibling Abuse by Vernon R. Wiehe Lexington, MA: Lexington Books, 1990, 186 pages, $29.95, hardback. Social Sensitivity: A Study of Habit and Experience by James M. Ostrow , Albany, NY: SUNY Press, 1990, 137 pages, $34.50, hardback. Preventing Adolescent Abuse: Effective Intervention Strategies and Techniques . by Richard P. Barth and David S. Derezotes Lexington, MA: Lexington Books, 1990, 222 pages.",Juvenile delinquency; Criminology; Sociology; Media studies; Humanities; Religious studies; Art; Philosophy,,,,10.1080/01639625.1991.9967891
